user_id,risk_score
U00001,0.9908461902443069
U00002,0.9899519145877086
U00003,0.989919115149463
U00004,0.989603783896306
U00005,0.989504047024809
U00006,0.9893120269250508
U00007,0.9893099172108993
U00008,0.9890788056724998
U00009,0.9881569249853589
U00010,0.9879080417489331
U00011,0.9878503477587467
U00012,0.9876589299362795
U00013,0.9874440349101775
U00014,0.987194855649511
U00015,0.9870639845749755
U00016,0.9866859144828141
U00017,0.9866621675320996
U00018,0.9866471547361253
U00019,0.9863711612119817
U00020,0.986319006387171
U00021,0.9861015433631181
U00022,0.9860555303227738
U00023,0.986020233725524
U00024,0.9859637009953984
U00025,0.9857190598127761
U00026,0.9856959026737424
U00027,0.9855179659022342
U00028,0.9854567568068772
U00029,0.9853527086848034
U00030,0.9853408167599949
U00031,0.9852882044331478
U00032,0.9851028834483618
U00033,0.985097449742432
U00034,0.9850624212611434
U00035,0.9847369095453156
U00036,0.9846884452009111
U00037,0.984433306139922
U00038,0.9843904392172572
U00039,0.9842632057443714
U00040,0.9841590090628458
U00041,0.9841575389798052
U00042,0.9840509924735299
U00043,0.9839631364485858
U00044,0.9838635683294535
U00045,0.9838140974101589
U00046,0.9837810696413062
U00047,0.9836751423414596
U00048,0.9836604506292492
U00049,0.9836160225304572
U00050,0.9836017900860995
U00051,0.9835611977241084
U00052,0.9833524303837808
U00053,0.9833354785194498
U00054,0.983294051137283
U00055,0.9832814207923898
U00056,0.9832045022037685
U00057,0.9830436076815441
U00058,0.9829933621408287
U00059,0.9827897190341971
U00060,0.9825981928467941
U00061,0.9825219223567144
U00062,0.9824592234272966
U00063,0.9824478327913787
U00064,0.9824249883276515
U00065,0.9823831218510193
U00066,0.9823413637160512
U00067,0.9821449250457729
U00068,0.9821140985811085
U00069,0.9820435509825968
U00070,0.9820182414427534
U00071,0.9816990302597197
U00072,0.9816312546931883
U00073,0.98149928450978
U00074,0.9814511948377823
U00075,0.9813956489085381
U00076,0.9813432068466533
U00077,0.9813101466658102
U00078,0.9812950131170828
U00079,0.9812775923715146
U00080,0.9812541430402337
U00081,0.9812429732658314
U00082,0.9812138455154537
U00083,0.9810951625171642
U00084,0.9810023305740293
U00085,0.9808975269890038
U00086,0.980800598167626
U00087,0.9805635814133655
U00088,0.9804483707826355
U00089,0.9802234564537677
U00090,0.98012981131101
U00091,0.9801293988945657
U00092,0.9800221156840715
U00093,0.9797330755558744
U00094,0.979654996609792
U00095,0.9796486675839751
U00096,0.9796429222711786
U00097,0.9795890133863691
U00098,0.979524280846401
U00099,0.9795175416470432
U00100,0.9794845204543037
U00101,0.9794378843336878
U00102,0.979407292102678
U00103,0.9793437671504114
U00104,0.9793263407955015
U00105,0.9791632195573304
U00106,0.9791065422555327
U00107,0.9790275445738418
U00108,0.9790230469696819
U00109,0.9790197199463279
U00110,0.9790123908253487
U00111,0.9789585202510664
