id,currency,user_id,created_at,kind,sub_kind,ori_samount,twd_srate,relation_user_id,from_wallet_hash,to_wallet_hash,protocol,source_ip_hash
23,ada,166185,2025-10-05T23:05:50,0,0,77000000000,2606000000,,a956d470e731acdb3871d498d6c1a979,9fb5cc47931b88c460422aefeb229c1f,0,
28,ada,182214,2025-10-20T16:07:41,1,0,51068096300,2054010000,,636f8885f54dc2320bbb47b9d566006e,245cfff23cfe05d3eae6877af0b4bc65,0,20281fa2effe18c76120f72f8e8afdae
32,ada,237625,2025-10-20T19:37:15,1,0,3318954800,2044130000,,636f8885f54dc2320bbb47b9d566006e,3e3c6ae3ffbcd543505a77cbc7f09857,0,79f09b51827a64fe276c8e18e7b8bffc
34,ada,255116,2025-10-09T16:43:15,0,0,17942985400,2480520000,,09a7ddcd33270cbd48833869cb9f3869,51ee0da14c0768cc193f87ad460dc45b,0,
35,ada,265391,2025-10-12T13:31:40,0,0,11265272000,2050420000,,09a7ddcd33270cbd48833869cb9f3869,2648413f86a58342bf6783a7c7e94660,0,
37,ada,275327,2025-10-09T16:51:04,1,0,134044493200,2479020000,,636f8885f54dc2320bbb47b9d566006e,478b42b0d0a94a8edd680f7bba26fdb6,0,0f008196ba807d860815ebd53e6beda8
41,ada,306408,2025-10-05T16:58:09,1,0,300000000,2675000000,,636f8885f54dc2320bbb47b9d566006e,b76e7bcf948dd4e5a0196c285538795f,0,69e1a71a8b835d1c48e303c7ac5fa072
42,ada,306408,2025-10-05T17:02:20,1,0,100000000000,2671500000,,636f8885f54dc2320bbb47b9d566006e,7ee2f7dfee74e23832cafbc0c9ad4392,0,69e1a71a8b835d1c48e303c7ac5fa072
52,ada,452512,2025-10-05T14:35:09,1,0,378205748100,2659320000,,636f8885f54dc2320bbb47b9d566006e,6902e9e8ddcfd37b3f4081802d0f9fd0,0,209dd049b178dda50191ad71102a2ff3
53,ada,454777,2025-10-18T09:49:14,1,0,3977170000,1953340000,,636f8885f54dc2320bbb47b9d566006e,f4682c136d9e7659c2254397b6b02702,0,a2d90d2eb5969303dc5415802df4286f
56,ada,464688,2025-10-09T00:24:59,1,0,7898843300,2518750000,,636f8885f54dc2320bbb47b9d566006e,3f4bd799184ed6a8ca4fff4c76c039b3,0,0fb360ee28b0e3a2209c4a35d1a61f82
72,ada,533934,2025-10-20T21:42:40,0,0,103581536700,2055050000,,09a7ddcd33270cbd48833869cb9f3869,60e0c4ff2146bcad29362ed38fb3b31f,0,
73,ada,536588,2025-10-20T21:45:15,0,0,65432137600,2053170000,,402480213c3b7a73b657062b6f13092e,d0b2798a3d79266561ec988d0849fee9,0,
75,ada,539441,2025-10-09T23:42:52,1,0,61800000000,2469700000,,636f8885f54dc2320bbb47b9d566006e,f28b90eed861a7c3e3b7a539affd9c89,0,07ae76773df05d6245e13ea8ae6db85d
86,ada,593251,2025-10-09T17:57:59,1,0,500100000000,2482200000,,636f8885f54dc2320bbb47b9d566006e,e46cd019c552e1ee59cc4ef15e366490,0,83e7d5fbb2ffad2ead39918de1bc4b5b
88,ada,602898,2025-10-05T12:09:05,1,0,57082603800,2616500000,,636f8885f54dc2320bbb47b9d566006e,b624b7b5d8a2c46de7391a1a55ce327f,0,d625f679a89d02ec54e10622d1da5f30
104,ada,642402,2025-10-20T11:14:42,1,0,49240267500,1988310000,,636f8885f54dc2320bbb47b9d566006e,522825552b093dcffeeffd7294679c8c,0,65b106636cb7a324c948f2c0d4f101b8
109,ada,653890,2025-10-09T16:31:45,1,0,36594152700,2483330000,,636f8885f54dc2320bbb47b9d566006e,79a71a991ab5637e83482f890f9db8e3,0,f0ec20f625c2b5c14879ef23e6defe6f
111,ada,657283,2025-10-12T03:50:00,1,0,44817186400,2040910000,,636f8885f54dc2320bbb47b9d566006e,1c8eb4f0aafb91bad72423cce19bdf55,0,f744fb7b9c66d212a1b81900a83e7f08
115,ada,671832,2025-10-09T19:31:15,0,0,12682833900,2501350000,,8f72e801dfdb9537e28191ceb07971f4,cd06a93d45cd7223f016c9edec75e0a7,0,
117,ada,680238,2025-10-05T11:17:45,0,0,1000000000,2614010000,,6f44a66d3fa28dd8d15bb586f11b373f,4897ccb54eb1ac0b51ca3562aedfd38f,0,
118,ada,684852,2025-10-09T15:57:30,1,0,1110614300,2506560000,,636f8885f54dc2320bbb47b9d566006e,9c75afaf63eb4cd1174dd7bd34a2402f,0,22576a6e0da572237d62eab489623f6d
130,ada,728100,2025-10-05T21:00:41,1,0,18919361300,2613900000,,636f8885f54dc2320bbb47b9d566006e,ac39e077e147e5b14fe05b869fb22626,0,ded1ec1693d109c26ceb8cbdfe006d8e
135,ada,750508,2025-10-12T03:35:03,1,0,29643644900,2068720000,,636f8885f54dc2320bbb47b9d566006e,478f06e12409cefad263decb33cd5c18,0,6323b5aa8e1c315a4a9ae7fcc78de1e4
145,ada,799027,2025-10-12T09:51:51,1,0,48785728300,1986520000,,636f8885f54dc2320bbb47b9d566006e,0fee4855c22126f95c7798e75c633394,0,3ac79bb2fb5660ae577b1d743444833c
155,ada,888172,2025-10-12T02:48:35,0,0,86607200000,2105250000,,1272ca2b6f5b534869ee83ff923e1bfc,c4aaf6a450025764ce5fb3a4a213c951,0,
156,ada,888172,2025-10-12T03:14:30,0,0,87946630000,2075000000,,1272ca2b6f5b534869ee83ff923e1bfc,c4aaf6a450025764ce5fb3a4a213c951,0,
157,ada,888172,2025-10-12T04:00:15,0,0,89641760000,2035000000,,1272ca2b6f5b534869ee83ff923e1bfc,c4aaf6a450025764ce5fb3a4a213c951,0,
158,ada,888172,2025-10-12T04:26:20,0,0,91166990000,2018000000,,1272ca2b6f5b534869ee83ff923e1bfc,c4aaf6a450025764ce5fb3a4a213c951,0,
159,ada,888172,2025-10-12T05:02:05,0,0,92317950000,2007000000,,1272ca2b6f5b534869ee83ff923e1bfc,c4aaf6a450025764ce5fb3a4a213c951,0,
161,ada,898512,2025-10-05T07:25:03,1,0,7255200800,2569470000,,636f8885f54dc2320bbb47b9d566006e,d7e70a10ca6a0eeed3b7b17bfd438f02,0,c6318fda4c9f849366a752236a809231
162,ada,903403,2025-10-12T01:43:40,0,0,9920000000,2096380000,,09a7ddcd33270cbd48833869cb9f3869,7db8ad01ecb0259a48906a08afd91ff1,0,
163,ada,903403,2025-10-12T02:01:55,0,0,39510360000,2098000000,,09a7ddcd33270cbd48833869cb9f3869,7db8ad01ecb0259a48906a08afd91ff1,0,
164,ada,903403,2025-10-12T02:23:40,0,0,49770100000,2096000000,,09a7ddcd33270cbd48833869cb9f3869,7db8ad01ecb0259a48906a08afd91ff1,0,
