user_id,has_kyc_level2,kyc_speed_sec,account_age_days,age,is_high_risk_career,is_high_risk_income,career_income_risk,is_app_user,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_sum,twd_wit_mean,twd_wit_std,twd_wit_max,twd_withdraw_ratio,twd_smurf_flag,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_sum,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_external_wit_count,crypto_currency_diversity,crypto_protocol_diversity,crypto_internal_peer_count,crypto_wit_ip_ratio,trading_count,trading_sum,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,total_trading_volume,ip_unique_count,ip_total_count,ip_night_ratio,ip_max_shared,fund_stay_sec,composite_risk_score,status
56,1,81067367.0,2929,43,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,10030.0,10030.0,0.0,10030.0,10030000000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0
189,1,105672882.0,2929,42,1,0,0,0,1.0,1400.0,1400.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1599.9466252,1599.9466252,1599.9466252,1.0,0.0,0.0,0.0,1599.9466252,2.0,2.0,0.0,37390.0,0.0,0.0,0
212,1,105672969.0,2929,53,0,0,0,0,1.0,24000.0,24000.0,0.0,24000.0,1.0,26549.0,26549.0,0.0,26549.0,1.1062083333332873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,37390.0,168559.0,0.2765520833333218,0
354,1,105765638.0,2929,59,0,0,0,0,5.0,50000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,37390.0,0.0,0.0,0
403,1,105673413.0,2929,28,0,0,0,0,1.0,20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19967.754395160002,19967.754395160002,19967.754395160002,1.0,1.0,1.0,0.0,1.0,1.0,19999.9969272,19999.9969272,19999.9969272,1.0,0.0,0.0,0.0,19999.9969272,2.0,3.0,0.0,37390.0,0.0,0.1,0
816,1,180332577.0,2929,57,0,0,0,0,1.0,2369.0,2369.0,0.0,2369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3203.31047512285,1601.655237561425,2364.6441768,2.0,2.0,1.0,0.0,1.0,1.0,2368.9973760000003,2368.9973760000003,2368.9973760000003,1.0,0.0,0.0,0.0,2368.9973760000003,3.0,4.0,0.0,37390.0,0.0,0.2,0
1296,1,105907909.0,2928,36,0,0,0,0,1.0,4000.0,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8598.112342459,4299.0561712295,8578.908342459,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,37390.0,0.0,0.1,0
1320,1,81036087.0,2928,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3826.9970445,3826.9970445,3826.9970445,1.0,0.0,0.0,0.0,3826.9970445,1.0,1.0,1.0,1.0,0.0,0.15,0
1527,1,105640279.0,2145,33,0,0,0,0,8.0,126328.0,15791.0,15407.612478437868,42900.0,5.0,201373.0,40274.6,15934.35522071728,58208.0,1.5940488252802103,0.0,1.0,7.0,201796.3038980905,28828.04341401293,50603.278451615995,8.0,126071.924023885,15758.990502985625,42814.199253357,8.0,3.0,4.0,0.0,1.0,12.0,293480.3600051,24456.69666709167,50590.1472075,0.6666666666666666,0.0,0.0,0.0,293480.3600051,6.0,33.0,0.36363636363636365,37390.0,465991.0,0.7530576608655072,0
1572,1,105669108.0,2928,46,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,35000.0,11666.666666666666,7637.6261582597335,20000.0,34999999999999.996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0
1606,1,105633182.0,2928,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,535.0,535.0,0.0,535.0,534999999999.99994,0.0,1.0,2.0,536.1689872460101,268.0844936230051,409.4189872460101,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,409.298028,409.298028,409.298028,0.0,1.0,0.0,0.0,409.298028,1.0,2.0,0.0,1.0,0.0,1.0,0
1621,1,107165071.0,2928,28,0,0,0,0,1.0,1000.0,1000.0,0.0,1000.0,1.0,31787.0,31787.0,0.0,31787.0,31.786999999968213,0.0,1.0,1.0,27357.127571495,27357.127571495,27357.127571495,1.0,315.6,315.6,315.6,1.0,1.0,1.0,0.0,1.0,2.0,13675.2591664,6837.6295832,12675.261144,0.5,0.0,0.0,0.0,13675.2591664,4.0,5.0,0.0,37390.0,21349.0,1.0,0
1736,1,106788963.0,2928,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,1280884.0,142320.44444444444,170289.2124351328,515430.0,1280884000000000.0,0.0,1.0,17.0,1283466.9321191339,75498.0548305373,516706.776,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,1283221.5365042982,128322.15365042983,516487.518,0.0,0.0,0.0,0.0,1283221.5365042982,3.0,19.0,0.0,1.0,0.0,1.0,0
1931,1,133388178.0,2927,43,0,0,0,0,3.0,170000.0,56666.666666666664,5773.5026918962585,60000.0,1.0,50574.0,50574.0,0.0,50574.0,0.2974941176470571,0.0,1.0,5.0,232729.5553758,46545.91107516,112662.20700000001,5.0,295272.16695352993,59054.433390705984,83869.994871,5.0,4.0,3.0,0.0,1.0,2.0,122563.0920954,61281.5460477,62423.0026652,1.0,0.0,0.0,0.0,122563.0920954,5.0,11.0,0.09090909090909091,37390.0,423410.0,0.4880098930481279,0
2022,1,105518730.0,2927,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,17967.0,8983.5,6436.793029141142,13535.0,17967000000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0
2056,1,106702683.0,2927,36,0,0,0,0,2.0,84000.0,42000.0,5656.85424949238,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83659.94495428,41829.97247714,45952.49654788,2.0,1.0,1.0,0.0,1.0,2.0,84098.22485920001,42049.112429600005,46016.543099200004,1.0,0.0,0.0,0.0,84098.22485920001,3.0,6.0,0.6666666666666666,37390.0,0.0,0.2,0
2111,1,80905246.0,2926,34,0,0,0,0,4.0,160000.0,40000.0,20000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,159267.013380223,31853.402676044603,49796.345180223,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,160000.0,160000.0,4.0,9.0,0.2222222222222222,37390.0,0.0,0.13333333333333333,0
2210,1,105722854.0,2926,47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,25042.0,25042.0,0.0,25042.0,25042000000000.0,0.0,1.0,1.0,25073.740391570256,25073.740391570256,25073.740391570256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,25066.4106756,25066.4106756,25066.4106756,0.0,0.0,0.0,0.0,25066.4106756,1.0,2.0,0.0,1.0,0.0,1.0,0
2228,1,120236191.0,2926,39,0,0,0,0,1.0,130000.0,130000.0,0.0,130000.0,2.0,107860.0,53930.0,10748.023074035522,61530.0,0.8296923076923013,0.0,1.0,2.0,108176.0,54088.0,61748.0,1.0,129570.0,129570.0,129570.0,1.0,1.0,1.0,0.0,1.0,4.0,238100.7781158,59525.19452895,123550.245,0.5,0.0,0.0,0.0,238100.7781158,4.0,8.0,0.5,37390.0,650799.0,0.3824230769230753,0
2241,1,80895379.0,2926,42,0,0,0,0,7.0,40447.0,5778.142857142857,2769.081461939526,11996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81423.68370869,81423.68370869,81423.68370869,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.375,37390.0,0.0,0.15625,0
