user_id,true_label,risk_score,predicted_blacklist,risk_level,data_source
158951,1,0.9999552048905208,1,極高風險,train
145522,1,0.999955136625393,1,極高風險,train
130736,1,0.9999535910018502,1,極高風險,train
120435,1,0.9999534264966292,1,極高風險,train
126909,1,0.999952721208448,1,極高風險,train
140330,1,0.9999526995127752,1,極高風險,train
126925,1,0.9999526308736952,1,極高風險,train
139877,1,0.9999518210144036,1,極高風險,train
135508,1,0.9999504663916844,1,極高風險,train
131473,1,0.9999499668071694,1,極高風險,train
120896,1,0.9999498135901378,1,極高風險,train
124681,1,0.999949400863488,1,極高風險,train
125889,1,0.9999492956539312,1,極高風險,train
126809,1,0.9999492755558804,1,極高風險,train
130167,1,0.9999492692546323,1,極高風險,train
124074,1,0.9999490293162092,1,極高風險,train
121112,1,0.9999489710278838,1,極高風險,train
156822,1,0.9999489549644264,1,極高風險,train
145587,1,0.9999487145312173,1,極高風險,train
159868,1,0.9999485294482005,1,極高風險,train
141137,1,0.9999483513018868,1,極高風險,train
144938,1,0.99994825664508,1,極高風險,train
130199,1,0.9999481869223622,1,極高風險,train
141734,1,0.9999480960084092,1,極高風險,train
130665,1,0.9999480741757788,1,極高風險,train
116398,1,0.9999479465760508,1,極高風險,train
160201,1,0.9999476280201072,1,極高風險,train
154275,1,0.9999474377711184,1,極高風險,train
123499,1,0.9999471110722776,1,極高風險,train
116632,1,0.99994706848071,1,極高風險,train
130317,1,0.9999469175494948,1,極高風險,train
126912,1,0.999946844833193,1,極高風險,train
159510,1,0.999946797198307,1,極高風險,train
160183,1,0.9999467925742452,1,極高風險,train
144288,1,0.9999467484267646,1,極高風險,train
135844,1,0.9999466544697764,1,極高風險,train
140145,1,0.999946604391913,1,極高風險,train
131630,1,0.9999466021043182,1,極高風險,train
140887,1,0.999946332208045,1,極高風險,train
136395,1,0.9999459804307854,1,極高風險,train
158760,1,0.9999459035957936,1,極高風險,train
155175,1,0.9999458228065664,1,極高風險,train
158935,1,0.9999457943514376,1,極高風險,train
126279,1,0.9999456999240935,1,極高風險,train
150328,1,0.999945648973284,1,極高風險,train
135126,1,0.9999452279984834,1,極高風險,train
126329,1,0.9999451720792972,1,極高風險,train
140137,1,0.999944997214846,1,極高風險,train
140212,1,0.9999449834656366,1,極高風險,train
150029,1,0.9999449680609126,1,極高風險,train
141035,1,0.9999448534826296,1,極高風險,train
145392,1,0.9999447477659292,1,極高風險,train
121456,1,0.9999447177898731,1,極高風險,train
135603,1,0.9999443421691177,1,極高風險,train
118565,1,0.9999443195529693,1,極高風險,train
127868,1,0.9999442075137572,1,極高風險,train
159463,1,0.9999439982055012,1,極高風險,train
131085,1,0.9999437559802292,1,極高風險,train
144338,1,0.999943535138692,1,極高風險,train
135650,1,0.9999435267061852,1,極高風險,train
138085,1,0.9999434240122378,1,極高風險,train
145535,1,0.9999433917897592,1,極高風險,train
117416,1,0.9999430723522896,1,極高風險,train
124836,1,0.999942925328517,1,極高風險,train
125328,1,0.9999429224913728,1,極高風險,train
125570,1,0.9999428743537806,1,極高風險,train
117440,1,0.9999427836413344,1,極高風險,train
136373,1,0.9999427454398482,1,極高風險,train
135671,1,0.9999427316833424,1,極高風險,train
143951,1,0.9999426978308876,1,極高風險,train
135959,1,0.9999426886077964,1,極高風險,train
158307,1,0.9999426385317032,1,極高風險,train
121686,1,0.9999424842750276,1,極高風險,train
131388,1,0.999942476871358,1,極高風險,train
116270,1,0.9999424237010208,1,極高風險,train
154702,1,0.999942311918894,1,極高風險,train
129877,1,0.999942257532057,1,極高風險,train
135884,1,0.9999421360571537,1,極高風險,train
116448,1,0.9999421176928304,1,極高風險,train
145315,1,0.9999419058765328,1,極高風險,train
142381,1,0.9999418847315196,1,極高風險,train
116259,1,0.9999417490196424,1,極高風險,train
147876,1,0.9999416987744624,1,極高風險,train
131205,1,0.9999416790531552,1,極高風險,train
150497,1,0.9999416418367264,1,極高風險,train
132194,1,0.9999414788606276,1,極高風險,train
140791,1,0.9999413828222858,1,極高風險,train
130326,1,0.9999413624729768,1,極高風險,train
130945,1,0.9999413598580968,1,極高風險,train
131157,1,0.9999410298734596,1,極高風險,train
116628,1,0.99994096218852,1,極高風險,train
121230,1,0.9999407901471852,1,極高風險,train
154509,1,0.9999407809678138,1,極高風險,train
129616,1,0.999940740665418,1,極高風險,train
160134,1,0.9999406668074542,1,極高風險,train
145924,1,0.9999406305907064,1,極高風險,train
154839,1,0.9999405797217162,1,極高風險,train
131187,1,0.9999405624573692,1,極高風險,train
117465,1,0.999940456850514,1,極高風險,train
121747,1,0.9999404462050524,1,極高風險,train
116705,1,0.9999404450453704,1,極高風險,train
126531,1,0.9999404153983168,1,極高風險,train
