user_id,risk_score,status
U118355,0.9862483752054977,1
U115889,0.9779516036453018,1
U124785,0.9759463872654702,1
U119565,0.9751112643804378,1
U120811,0.9742217787959464,1
U117057,0.9740839362764384,1
U115922,0.9715196684158808,1
U123496,0.9706750676250566,1
U117283,0.9703675235672788,1
U127534,0.970276519051274,1
U115935,0.9691632383431845,1
U118112,0.9663612437717574,1
U119734,0.9658453255895058,1
U116030,0.9655665753442385,1
U118325,0.9654978902458016,1
U115954,0.9654394077190479,1
U115730,0.9645562377067669,1
U118184,0.9642680041427838,1
U122360,0.963618213958391,1
U120918,0.9629087801673712,1
U121123,0.962274921473903,1
U122243,0.9618542263758716,1
U125955,0.9613325451414572,1
U115914,0.9604763769340733,1
U115982,0.9600669836620866,1
U117294,0.9596184300113322,1
U115901,0.9582424844590336,1
U118442,0.9578755155775018,1
U119688,0.9573678277779976,1
U127387,0.9572023239721816,1
U122259,0.9566655852121144,1
U117973,0.956595192141809,1
U126239,0.9557355148235932,1
U126241,0.9553159079481529,1
U122309,0.9547138266288865,1
U126987,0.9545057101466268,1
U122300,0.9541221381860004,1
U125014,0.9538274020340476,1
U127196,0.9536820932505812,1
U127429,0.9533179327133187,1
U120905,0.9531229293924036,1
U124770,0.9525028566588399,1
U118380,0.9525007294504834,1
U126081,0.9521340443997813,1
U117158,0.9520738087649444,1
U121096,0.9519806759044178,1
U121424,0.9516224379270053,1
U122261,0.9514172799177014,1
U121982,0.9512687961462171,1
U126153,0.9511705266167603,1
U126073,0.951079580946464,1
U122424,0.9503900026794081,1
U120704,0.9502488338192435,1
U127371,0.9500025290173857,1
U118565,0.9493126605745922,1
U122237,0.9492399751495302,1
U124915,0.9489497471240368,1
U124834,0.9487803067090513,1
U122310,0.9486435415944399,1
U116804,0.9481990268192018,1
U127526,0.9477150151039346,1
U118474,0.9474745311318398,1
U123626,0.947318251106677,1
U120920,0.9470344322581724,1
U119646,0.9469119196790504,1
U120114,0.9465268172014513,1
U118507,0.9465248806308861,1
U122317,0.9464260059733831,1
U123603,0.9462217740638266,1
U124822,0.9461339385099683,1
