node_id,node_type,risk_score,label
user_104533,user,0.23409589168144807,0.0
user_104534,user,0.210005853991677,0.0
user_104536,user,0.26430558386337294,0.0
user_104541,user,0.11648062848601672,0.0
user_93800,user,0.2357137135624087,0.0
user_67740,user,0.18828954212144805,0.0
user_92042,user,0.15257374208590746,0.0
user_104549,user,0.12731822257058792,0.0
user_72227,user,0.21939735697396806,0.0
user_104555,user,0.1925331814000336,0.0
user_102498,user,0.20440371160625767,0.0
user_90497,user,0.2506203981282532,0.0
user_96329,user,0.3185815610442194,0.0
user_67570,user,0.2868307858170827,0.0
user_104564,user,0.4283587445980699,0.0
user_82304,user,0.23079061484558605,0.0
user_66501,user,0.5963675882030328,0.0
user_97444,user,0.34023657499030424,0.0
user_93805,user,0.14012027358510157,0.0
user_65871,user,0.12836617074521173,0.0
user_72229,user,0.5212464537276401,0.0
user_69205,user,0.2103033479155722,0.0
user_90501,user,0.14657300078702268,0.0
user_66043,user,0.3105841269687157,0.0
user_98226,user,0.2503980634282283,0.0
user_66508,user,0.13774380416625379,0.0
user_67305,user,0.4668585169812022,0.0
user_104602,user,0.21615730306661213,0.0
user_67852,user,0.3978376263075046,0.0
user_104606,user,0.16074597654905887,0.0
user_104610,user,0.1342035858987937,0.0
user_87112,user,0.19951331909870942,0.0
user_104613,user,0.1502225325714896,0.0
user_98231,user,0.23850946276169596,0.0
user_104617,user,0.1449139745878753,0.0
user_66514,user,0.136937718094133,0.0
user_104622,user,0.105064842780783,0.0
user_104625,user,0.2228541294828502,0.0
user_66338,user,0.17483737307751038,0.0
user_93811,user,0.13916323368524677,0.0
user_98232,user,0.2692042674764921,0.0
user_98362,user,0.716623080810371,0.0
user_85317,user,0.41945426684176584,0.0
user_67122,user,0.19539004958396333,0.0
user_96301,user,0.20002295403987164,0.0
user_104647,user,0.2095434836050368,0.0
user_65558,user,0.676041227781211,1.0
user_99243,user,0.41866928638686857,0.0
user_90509,user,0.11021643036797377,0.0
user_104661,user,0.33279356495750306,0.0
user_104662,user,0.33579014857187783,0.0
user_104665,user,0.24694796039333938,0.0
user_104667,user,0.18193495684568403,0.0
user_104668,user,0.19910242494492403,0.0
user_104670,user,0.15364479942967285,0.0
user_104675,user,0.10454381849805083,0.0
user_74125,user,0.4460599560995953,0.0
user_93816,user,0.2489793767957489,0.0
user_68114,user,0.12341523812725777,0.0
user_104691,user,0.289582647160441,0.0
user_104694,user,0.1447474423730259,0.0
user_104698,user,0.14701400439164283,0.0
user_67860,user,0.17200292768841707,0.0
user_104707,user,0.16206458993972486,0.0
user_104709,user,0.14129992405066602,0.0
user_98242,user,0.22548095810581814,0.0
user_93569,user,0.23463024187372805,0.0
user_66005,user,0.21095776707689642,0.0
user_87117,user,0.3020608399512661,0.0
user_85326,user,0.1614818860058158,0.0
user_85881,user,0.2132907552720072,0.0
user_104726,user,0.3104066579479771,0.0
user_98368,user,0.31573379199806123,0.0
user_93571,user,0.24352596478970778,0.0
user_104731,user,0.11284012268691312,0.0
user_104732,user,0.26481783298777706,0.0
user_67862,user,0.21505349595124007,0.0
user_104733,user,0.14987726734592569,0.0
user_87118,user,0.30491153656744036,0.0
user_67332,user,0.19060049952386268,0.0
user_67866,user,0.6089074754098982,0.0
user_104744,user,0.15566727761715932,0.0
user_67335,user,0.4548536361921941,0.0
user_67336,user,0.4079082383033693,0.0
user_104330,user,0.26115260745710733,0.0
user_98251,user,0.2199863076998363,0.0
user_104763,user,0.12475488567069902,0.0
user_82337,user,0.13421548439072736,0.0
user_97456,user,0.3069133363435047,0.0
user_104772,user,0.20836066010592255,0.0
user_104773,user,0.3669538050009442,0.0
user_104775,user,0.11711905499394236,0.0
user_104779,user,0.1790591655335433,0.0
user_74202,user,0.15589594692548522,0.0
user_104780,user,0.1410725729471938,0.0
user_67869,user,0.19475521560080836,0.0
user_90526,user,0.12499816043001657,0.0
user_104785,user,0.2908931581454417,0.0
